strain_name,parent_strain_name,site_directed,gisaid_id,genbank_accn,expandable
S:446S,NULL,TRUE,NULL,NULL,TRUE
S:446V,NULL,TRUE,NULL,NULL,TRUE
S:446V+614G,NULL,TRUE,NULL,NULL,TRUE
S:449N+614G,NULL,TRUE,NULL,NULL,TRUE
S:450D,NULL,TRUE,NULL,NULL,TRUE
S:450K,NULL,TRUE,NULL,NULL,TRUE
S:450Y,NULL,TRUE,NULL,NULL,TRUE
S:452K,NULL,TRUE,NULL,NULL,TRUE
S:452R,NULL,TRUE,NULL,NULL,TRUE
S:453F,NULL,TRUE,NULL,NULL,TRUE
S:453F+498H,NULL,TRUE,NULL,NULL,TRUE
S:453F+614G,NULL,TRUE,NULL,NULL,TRUE
S:455F,NULL,TRUE,NULL,NULL,TRUE
S:455F+614G,NULL,TRUE,NULL,NULL,TRUE
S:455I,NULL,TRUE,NULL,NULL,TRUE
S:455R,NULL,TRUE,NULL,NULL,TRUE
S:455Y+456L,NULL,TRUE,NULL,NULL,TRUE
S:456A,NULL,TRUE,NULL,NULL,TRUE
S:456K,NULL,TRUE,NULL,NULL,TRUE
S:456R,NULL,TRUE,NULL,NULL,TRUE
S:456V,NULL,TRUE,NULL,NULL,TRUE
S:458N,NULL,TRUE,NULL,NULL,TRUE
S:458R,NULL,TRUE,NULL,NULL,TRUE
S:458R+614G,NULL,TRUE,NULL,NULL,TRUE
S:460T,NULL,TRUE,NULL,NULL,TRUE
S:468F,NULL,TRUE,NULL,NULL,TRUE
S:468T,NULL,TRUE,NULL,NULL,TRUE
S:470N+471V+472P,NULL,TRUE,NULL,NULL,TRUE
S:472V,NULL,TRUE,NULL,NULL,TRUE
S:472V+614G,NULL,TRUE,NULL,NULL,TRUE
S:475D,NULL,TRUE,NULL,NULL,TRUE
S:475R,NULL,TRUE,NULL,NULL,TRUE
S:475V,NULL,TRUE,NULL,NULL,TRUE
S:475V+261D,NULL,TRUE,NULL,NULL,TRUE
S:475V+614G,NULL,TRUE,NULL,NULL,TRUE
S:476A,NULL,TRUE,NULL,NULL,TRUE
S:476S,NULL,TRUE,NULL,NULL,TRUE
S:477G,NULL,TRUE,NULL,NULL,TRUE
S:477N,NULL,TRUE,NULL,NULL,TRUE
S:477N+514F,NULL,TRUE,NULL,NULL,TRUE
S:477N+614G,NULL,TRUE,NULL,NULL,TRUE
S:477R,NULL,TRUE,NULL,NULL,TRUE
S:478I,NULL,TRUE,NULL,NULL,TRUE
S:479S,NULL,TRUE,NULL,NULL,TRUE
S:479S+614G,NULL,TRUE,NULL,NULL,TRUE
S:483A,NULL,TRUE,NULL,NULL,TRUE
S:483F,NULL,TRUE,NULL,NULL,TRUE
S:483I,NULL,TRUE,NULL,NULL,TRUE
S:484A,NULL,TRUE,NULL,NULL,TRUE
S:484D,NULL,TRUE,NULL,NULL,TRUE
S:484G,NULL,TRUE,NULL,NULL,TRUE
S:484K,NULL,TRUE,NULL,NULL,TRUE
S:484K+501Y,NULL,TRUE,NULL,NULL,TRUE
S:484K+614G,NULL,TRUE,NULL,NULL,TRUE
S:484K+683G,NULL,TRUE,NULL,NULL,TRUE
S:484P,NULL,TRUE,NULL,NULL,TRUE
S:484Q,NULL,TRUE,NULL,NULL,TRUE
S:484V,NULL,TRUE,NULL,NULL,TRUE
S:485D,NULL,TRUE,NULL,NULL,TRUE
S:485R,NULL,TRUE,NULL,NULL,TRUE
S:485R+614G,NULL,TRUE,NULL,NULL,TRUE
S:486A,NULL,TRUE,NULL,NULL,TRUE
S:486K,NULL,TRUE,NULL,NULL,TRUE
S:486L,NULL,TRUE,NULL,NULL,TRUE
S:486R,NULL,TRUE,NULL,NULL,TRUE
S:486S,NULL,TRUE,NULL,NULL,TRUE
S:486V,NULL,TRUE,NULL,NULL,TRUE
S:486Y,NULL,TRUE,NULL,NULL,TRUE
S:487R,NULL,TRUE,NULL,NULL,TRUE
S:490K,NULL,TRUE,NULL,NULL,TRUE
S:490L,NULL,TRUE,NULL,NULL,TRUE
S:490L+614G+779H,NULL,TRUE,NULL,NULL,TRUE
S:490S,NULL,TRUE,NULL,NULL,TRUE
S:490S+614G,NULL,TRUE,NULL,NULL,TRUE
S:493K,NULL,TRUE,NULL,NULL,TRUE
S:493L,NULL,TRUE,NULL,NULL,TRUE
S:493R,NULL,TRUE,NULL,NULL,TRUE
S:494D,NULL,TRUE,NULL,NULL,TRUE
S:494P,NULL,TRUE,NULL,NULL,TRUE
S:494R,NULL,TRUE,NULL,NULL,TRUE
S:499L,NULL,TRUE,NULL,NULL,TRUE
S:49Y,NULL,TRUE,NULL,NULL,TRUE
S:501Y,NULL,TRUE,NULL,NULL,TRUE
S:501Y+614G,NULL,TRUE,NULL,NULL,TRUE
S:503F,NULL,TRUE,NULL,NULL,TRUE
S:508H,NULL,TRUE,NULL,NULL,TRUE
S:514F+477N,NULL,TRUE,NULL,NULL,TRUE
S:517R+345A,NULL,TRUE,NULL,NULL,TRUE
S:519P,NULL,TRUE,NULL,NULL,TRUE
S:519P+614G,NULL,TRUE,NULL,NULL,TRUE
S:519Q,NULL,TRUE,NULL,NULL,TRUE
S:520S,NULL,TRUE,NULL,NULL,TRUE
S:522S,NULL,TRUE,NULL,NULL,TRUE
S:522V,NULL,TRUE,NULL,NULL,TRUE
S:570D,NULL,TRUE,NULL,NULL,TRUE
S:583D,NULL,TRUE,NULL,NULL,TRUE
S:5F,NULL,TRUE,NULL,NULL,TRUE
S:5F+614G,NULL,TRUE,NULL,NULL,TRUE
S:603Q,NULL,TRUE,NULL,NULL,TRUE
S:614G,NULL,TRUE,NULL,NULL,TRUE
S:614G+1229I,NULL,TRUE,NULL,NULL,TRUE
S:614G+1237I,NULL,TRUE,NULL,NULL,TRUE
S:614G+1263L,NULL,TRUE,NULL,NULL,TRUE
S:614G+831V,NULL,TRUE,NULL,NULL,TRUE
S:614G+845S,NULL,TRUE,NULL,NULL,TRUE
S:614G+879S,NULL,TRUE,NULL,NULL,TRUE
S:614G+936Y,NULL,TRUE,NULL,NULL,TRUE
S:614G+939F,NULL,TRUE,NULL,NULL,TRUE
S:614G+943T,NULL,TRUE,NULL,NULL,TRUE
S:615L,NULL,TRUE,NULL,NULL,TRUE
S:616Q,NULL,TRUE,NULL,NULL,TRUE
S:61Q,NULL,TRUE,NULL,NULL,TRUE
S:655Y,NULL,TRUE,NULL,NULL,TRUE
S:657Q,NULL,TRUE,NULL,NULL,TRUE
S:681H,NULL,TRUE,NULL,NULL,TRUE
S:683G,NULL,TRUE,NULL,NULL,TRUE
S:692V,NULL,TRUE,NULL,NULL,TRUE
S:69del,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+439K,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+453F,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+453F+486L+501T+1229I,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+570D,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+614G,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+614G+681H,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+681H,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+614G,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+796H,NULL,TRUE,NULL,NULL,TRUE
S:701V,NULL,TRUE,NULL,NULL,TRUE
S:709Q,NULL,TRUE,NULL,NULL,TRUE
S:716I,NULL,TRUE,NULL,NULL,TRUE
S:74K,NULL,TRUE,NULL,NULL,TRUE
S:74Q,NULL,TRUE,NULL,NULL,TRUE
S:796H,NULL,TRUE,NULL,NULL,TRUE
S:80A,NULL,TRUE,NULL,NULL,TRUE
S:80A+215G+484K+501Y+701V,NULL,TRUE,NULL,NULL,TRUE
S:831V,NULL,TRUE,NULL,NULL,TRUE
S:839E,NULL,TRUE,NULL,NULL,TRUE
S:8V,NULL,TRUE,NULL,NULL,TRUE
S:8W,NULL,TRUE,NULL,NULL,TRUE
S:936Y,NULL,TRUE,NULL,NULL,TRUE
S:936Y+614G,NULL,TRUE,NULL,NULL,TRUE
S:943R,NULL,TRUE,NULL,NULL,TRUE
S:943T,NULL,TRUE,NULL,NULL,TRUE
S:982A,NULL,TRUE,NULL,NULL,TRUE
SARS-CoV Spike,NULL,FALSE,NULL,NC_004718,FALSE
SPE-RII-30769S,NULL,FALSE,596228,NULL,TRUE
WA-RML/d105,NULL,FALSE,NULL,MT982406,TRUE
WA-RML/d49,NULL,FALSE,NULL,MT982401,TRUE
WA-RML/d70,NULL,FALSE,NULL,MT982404,TRUE
WA-RML/d85,NULL,FALSE,NULL,MT982405,TRUE
WIV1 Spike,NULL,FALSE,NULL,KF367457,FALSE
Wuhan,NULL,FALSE,NULL,NC_045512.2,TRUE
